7,85,98,90,72,17,11
24,91,96,86,87,10,3
42,94,73,100,14,67,19
92,94,89,75,14,4,82
57,81,87,73,12,12,76
85,67,89,80,33,33,34
15,94,81,58,16,52,32
26,70,95,63,43,37,20
32,27,100,99,22,31,47
3,50,89,81,8,80,12
25,92,41,86,77,14,9
77,48,86,85,35,3,62
66,26,98,87,2,3,95
98,55,56,95,86,9,5
9,99,10,96,78,9,13
67,94,31,80,14,38,48
74,79,67,59,21,22,57
10,100,53,48,25,20,55
96,78,39,82,84,7,9
87,72,50,74,7,11,82
38,87,98,11,29,16,55
12,53,64,78,7,81,12
68,76,88,30,70,24,6
37,95,27,71,2,24,74
71,52,90,48,14,80,6
90,29,76,81,7,31,62
50,10,85,89,8,10,82
20,70,63,48,43,38,19
19,86,71,23,1,87,12
16,73,78,24,14,81,5
52,5,76,92,64,11,25
58,76,66,31,8,81,11
22,50,22,100,42,22,36
81,70,75,26,21,32,47
51,29,67,74,28,39,33
21,80,30,59,42,4,54
40,35,77,56,43,37,20
8,68,20,79,22,52,26
54,50,83,34,35,17,48
62,70,4,92,70,15,15
59,10,56,99,29,53,18
82,16,49,99,14,74,12
94,43,80,39,54,40,6
89,16,77,67,15,45,40
27,29,53,77,50,9,41
55,42,50,67,31,24,45
34,2,67,86,57,9,34
79,28,56,70,7,39,54
18,8,54,89,9,73,18
47,35,46,66,59,10,31
5,86,20,41,15,45,40
63,67,62,17,57,16,27
41,16,36,92,57,2,41
17,48,36,58,9,10,81
93,70,43,29,42,24,34
86,61,79,2,42,52,6
91,20,70,50,7,46,47
4,30,38,71,7,31,62
56,15,86,38,14,74,12
83,48,36,45,32,41,27
36,31,82,12,85,11,4
0,32,88,4,39,48,13
80,67,13,42,4,6,90
69,28,67,26,63,35,2
43,50,53,17,93,3,4
97,77,10,29,7,88,5
70,29,4,80,43,37,20
78,3,39,71,49,46,5
95,62,49,2,25,41,34
29,2,31,79,43,17,40
45,63,25,24,22,58,20
13,17,78,16,14,74,12
2,10,77,23,58,30,12
23,95,9,4,9,31,60
48,96,10,2,94,3,3
28,6,18,82,87,3,10
61,43,48,14,61,5,34
46,49,4,50,15,60,25
35,82,9,11,37,3,60
65,6,88,8,56,31,13
76,7,23,70,21,11,68
1,46,1,51,70,11,19
39,39,5,50,28,59,13
75,44,26,21,49,18,33
33,3,68,20,7,67,26
11,61,27,3,1,79,20
6,14,26,50,56,1,43
60,19,37,31,63,17,20
30,5,9,71,2,38,60
72,31,38,15,15,17,68
31,53,21,6,98,1,1
64,6,59,12,81,6,13
84,45,9,22,26,5,69
99,27,30,19,15,16,69
44,49,1,25,7,3,90
49,35,6,27,14,59,27
53,9,47,10,15,73,12
14,41,10,11,7,10,83
88,20,20,12,43,16,41
73,8,8,19,37,24,39
