41,95,99,75,2,38,60
95,89,77,100,7,32,61
12,85,76,97,32,34,34
43,89,80,82,29,67,4
91,68,90,88,72,10,18
72,74,62,97,15,80,5
27,49,92,88,1,24,75
4,91,72,65,35,36,29
47,83,91,54,14,73,13
69,99,100,26,54,40,6
1,74,71,74,9,80,11
88,100,51,68,72,17,11
70,87,87,45,14,3,83
24,83,87,47,57,23,20
54,96,85,34,98,1,1
97,92,59,62,3,87,10
38,82,69,59,87,3,10
58,78,77,55,64,2,34
82,65,99,46,7,52,41
83,71,40,98,16,52,32
65,55,72,81,46,6,48
59,58,45,99,81,13,6
22,95,30,76,8,87,5
2,64,58,77,52,10,38
7,38,93,68,4,55,41
96,64,43,91,21,49,30
56,80,92,26,56,43,1
18,23,91,83,15,2,83
35,75,46,74,36,9,55
8,62,61,72,2,94,4
30,55,83,53,16,24,60
79,24,84,81,37,31,32
92,86,37,66,8,88,4
39,52,74,63,5,82,13
37,44,85,58,30,17,53
9,52,45,87,50,16,34
25,14,98,71,8,72,20
62,65,37,77,23,31,46
51,39,87,53,16,52,32
86,98,34,47,5,26,69
63,37,51,90,53,13,34
3,21,83,74,23,3,74
57,74,77,26,51,37,12
89,58,64,54,1,58,41
50,16,61,98,2,45,53
52,82,20,73,47,5,48
81,19,96,59,14,38,48
48,78,52,41,43,45,12
71,36,52,82,12,19,69
28,32,50,86,5,47,48
80,25,83,59,30,65,5
49,62,56,49,50,23,27
21,79,17,65,28,38,34
44,79,74,8,42,53,5
78,70,15,71,64,23,13
90,31,81,43,29,3,68
94,14,48,90,8,32,60
55,47,33,72,77,4,19
0,50,50,50,40,40,20
46,49,12,88,16,80,4
42,33,93,23,64,2,34
45,13,86,49,18,69,13
67,25,24,93,15,44,41
14,83,11,48,84,3,13
31,47,76,19,15,4,81
16,95,32,11,7,7,86
77,85,31,20,50,30,20
75,80,9,46,21,31,48
23,33,50,48,44,30,26
17,16,61,53,23,30,47
84,60,10,58,63,24,13
34,35,49,44,36,46,18
33,27,74,22,22,58,20
74,26,57,38,84,10,6
53,40,3,76,12,47,41
68,13,21,84,5,40,55
32,32,53,33,60,27,13
93,76,21,21,98,1,1
29,97,15,3,8,38,54
85,26,6,81,72,23,5
19,52,36,24,8,59,33
66,7,30,73,49,39,12
60,26,83,1,24,31,45
26,17,80,11,29,45,26
99,84,18,4,32,41,27
6,39,33,31,72,2,26
61,18,59,26,63,14,23
5,2,38,57,56,18,26
64,62,33,2,22,51,27
13,56,36,4,64,17,19
20,14,69,2,9,38,53
40,67,17,1,57,10,33
98,64,5,15,75,5,20
10,16,16,39,29,65,6
36,35,3,27,2,80,18
76,23,1,37,9,3,88
73,7,21,28,28,17,55
11,18,11,24,22,46,32
15,34,6,11,2,2,96
87,1,5,23,30,52,18
